Invoice No.,Item Name
C2284,"['Cappucino (250 ML)', 'Cafe Latte (250 ML)']"
C2285,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
C2286,"['Vietnamese (350 ML)', 'Irish Americano (250 ML)']"
C2287,['Origanal South Indian Frappe (350 ML)']
C2288,['Vietnamese (350 ML)']
C2289,"['Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2290,"['Cappucino (250 ML)', 'Add On Syrup (Add On hazelnuts Syrup)', 'Papparoti (Plain)']"
C2291,['Hazelnut Frappe (350 ML)']
C2292,"['Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon']"
C2293,['Papparoti (Plain)']
C2294,"['Baked Pav Bhaji', 'Baked Vada Pav']"
C2295,['South Indian Filter Kaapi (150 ML)']
C2296,['Strawberry White Chocolate Ganache With Rosella Jam Macaroon']
C2297,"['Rosella Cheesecake Berliner', 'Calzones Veg (Calzone Paneer)']"
C2298,"['Spicy Banana Chips 60 Gm', 'Yellow Banana Chips 60 Gm', 'Plain Nankhatai Veg', 'Choco-crinkle-cookies (COMBO 6 PCS)']"
C2299,"['Origanal South Indian Frappe (350 ML)', 'Iced Americano (350 ML)', 'Add On Syrup (Add On Irish Syrup)']"
C2300,"['Kaapicino (250 ML)', 'Strawberry White Chocolate Ganache With Rosella Jam Macaroon', 'Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC)']"
C2301,['Berliners (Nutella Berliner)']
C2302,['Papparoti (Add On Nutella sauce)']
